"Name","Delay(1/60)","Column","Row"
"Frame20","15","0","0"
"Copy_Frame20","15","1","0"
"Copy_Copy_Frame20","15","2","0"
"Copy_Copy_Copy_Frame20","15","3","0"
"Copy_Copy_Copy_Frame20","15","4","0"
"Copy_Copy_Copy_Copy_Frame20","15","5","0"
"Copy_Copy_Copy_Copy_Copy_Frame20","15","6","0"
"Copy_Copy_Copy_Copy_Copy_Copy_Frame20","15","7","0"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame20","15","8","0"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame20","15","9","0"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame20","15","0","1"
"Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Copy_Frame20","15","1","1"
